,,,,,,,,macOS,,,,,,,,
,,SF Symbol Hierarchical Default Light,,,SF Symbol Hierarchical Default Dark,,,,Standard,,,,Increased Contrast,,,
Color Name,Symbol App Ready,Primary,Secondary,Tertiary,Primary,Secondary,Tertiary,Color Name,Light Standard,Light Vibrant Standard,Dark Standard,Dark Vibrant Standard,Light Increased Contrast,Light Vibrant Increased Contrast,Dark Increased Contrast,Dark Vibrant Increased Contrast
SYSTEM COLORS,,,,,,,,,,,,,,,,
PRIMARY COLORS,,Opacity,Opacity,Opacity,Opacity,Opacity,Opacity,,RGB,RGB,RGB,RGB,RGB,RGB,RGB,RGB
red,TRUE,100,50,18,100,50,20,systemRedColor,"255, 56, 60","245, 47, 50","255, 66, 69","255, 71, 71","233, 21, 45","212, 13, 35","255, 97, 101","255, 97, 101"
orange,TRUE,100,50,18,100,50,25,systemOrangeColor,"255, 141, 40","245, 134, 37","255, 146, 48","255, 158, 51","197, 83, 0","168, 70, 0","255, 160, 86","255, 160, 86"
yellow,TRUE,100,50,20,100,50,25,systemYellowColor,"255, 204, 0","245, 194, 0","255, 214, 0","255, 224, 20","161, 106, 0","145, 92, 0","254, 223, 67","254, 223, 67"
green,TRUE,100,50,18,100,50,25,systemGreenColor,"52, 199, 89","38, 191, 77","48, 209, 88","59, 219, 99","0, 137, 50","0, 115, 42","74, 217, 104","74, 217, 104"
mint,TRUE,100,50,18,100,50,25,systemMintColor,"0, 200, 179","0, 189, 169","0, 218, 195","45, 224, 205","0, 133, 117","0, 120, 105","84, 223, 203","84, 223, 203"
teal,TRUE,100,50,18,100,50,25,systemTealColor,"0, 195, 208","0, 179, 191","0, 210, 224","45, 215, 224","0, 129, 152","0, 119, 140","59, 221, 236","59, 221, 236"
cyan,TRUE,100,50,18,100,50,25,systemCyanColor,"0, 192, 232","0, 171, 207","60, 211, 254","71, 216, 252","0, 126, 174","0, 116, 161","109, 217, 255","109, 217, 255"
blue,TRUE,100,50,18,100,50,25,systemBlueColor,"0, 136, 255","0, 120, 240","0, 145, 255","10, 153, 255","30, 110, 244","4, 89, 224","92, 184, 255","92, 184, 255"
indigo,TRUE,100,50,18,100,50,25,systemIndigoColor,"97, 85, 245","92, 80, 230","107, 93, 255","113, 99, 255","86, 74, 222","72, 61, 191","167, 170, 255","167, 170, 255"
purple,TRUE,100,50,18,100,50,25,systemPurpleColor,"203, 48, 224","183, 43, 201","219, 52, 242","230, 71, 252","176, 47, 194","152, 39, 168","234, 141, 255","234, 141, 255"
pink,TRUE,100,50,18,100,50,20,systemPinkColor,"255, 45, 85","245, 35, 75","255, 55, 95","255, 65, 105","231, 18, 77","212, 17, 62","255, 138, 196","255, 138, 196"
brown,TRUE,100,50,18,100,50,25,systemBrownColor,"172, 127, 94","158, 115, 84","183, 138, 102","194, 150, 114","149, 109, 81","135, 97, 68","219, 166, 121","219, 166, 121"
white,TRUE,100,50,18,100,50,25,white,"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
gray,TRUE,100,50,18,100,50,25,systemGrayColor,"142, 142, 147","132, 132, 137","152, 152, 157","162, 162, 167","105, 105, 110","97, 97 101","152, 152, 157","152, 152, 157"
black,TRUE,100,50,18,100,50,25,black,"0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0"
CONTRAST COLORS,,,,,,,,,"R, G, B, A","R, G, B, A","R, G, B, A","R, G, B, A","R, G, B, A","R, G, B, A","R, G, B, A","R, G, B, A"
primary,TRUE,,,,100,50,25,labelColor,"0, 0, 0, 85","76, 76, 76, 100","255, 255, 255, 85","229, 229, 229, 100","0, 0, 0, 100","0, 0, 0, 100","255, 255, 255, 100","255, 255, 255, 100"
secondary,TRUE,,,,100,50,25,secondaryLabelColor,"0, 0, 0, 50","128, 128, 128, 100","255, 255, 255, 55","124, 124, 124, 100","0, 0, 0, 76","0, 0, 0, 76","255, 255, 255, 70","255, 255, 255, 70"
tertiary,TRUE,,,,100,50,25,tertiaryLabelColor,"0, 0, 0, 25","191, 191, 191, 100","255, 255, 255, 25","65, 65, 65, 100","0, 0, 0, 56","0, 0, 0, 56","255, 255, 255, 50","255, 255, 255, 50"
quatenary,TRUE,,,,100,50,25,quaternaryLabelColor,"0, 0, 0, 10","230, 230, 230, 100","255, 255, 255, 10","35, 35, 35, 100","0, 0, 0, 35","0, 0, 0, 35","255, 255, 255, 30","255, 255, 255, 30"
quinary,FALSE,,,,,,,quinaryLabelColor,"0, 0, 0, 5","242, 242, 242, 100","0, 0, 0, 1.5","17, 17, 17, 100","0, 0, 0, 15",,"255, 255, 255, 15",